GRAPH_ID,BASIN_ID,NODE_INDEX,STATION_ID,OUTLET_ID,ROLE,IS_OUTLET,STATIC_QC,log_incremental_area,log_upstream_area,mean_hillslope_flow_distance_m,mean_slope_deg,elevation_std_m,drainage_density_km_per_km2,soil_log_ksat_0_30cm,soil_profile_depth_cm,forest_fraction,impervious_fraction
B001,B001,0,61105000,61105000,outlet,1,ACCEPT,4.085710152,4.085051061,967.9697207,28.60056127,214.2609403,0.5425846138,1.417719662,95.89109039,0.9328358209,0.004647798452
B002,B002,0,611H0397,61106450,upstream,0,ACCEPT,1.87728373,1.876755816,1159.535652,21.31603075,163.0551153,0.4564799514,1.661103129,91.90499878,0.62,0.01219908913
B002,B002,1,611H0393,61106450,upstream,0,ACCEPT,3.327854117,3.327254836,913.7061761,21.97372736,148.8704114,0.530570933,1.620019694,92.4328537,0.2897959184,0.009641781051
B002,B002,2,611H0394,61106450,upstream,0,ACCEPT,3.48536327,3.484758204,1013.672066,22.84860507,178.4662119,0.4716813183,1.594771961,90.64976501,0.4861111111,0.01189426059
B002,B002,3,611H0395,61106450,upstream,0,ACCEPT,3.839448894,4.704834954,1022.69113,20.37655314,200.6340091,0.5862157562,1.600194931,93.10678101,0.2945368171,0.02317992128
B002,B002,4,611H0398,61106450,upstream,0,ACCEPT,0.1168956063,4.705956014,230.1999467,9.431964566,16.61728191,1.019060281,1.466474275,101,0,0.05147058824
B002,B002,5,611H0396,61106450,upstream,0,ACCEPT,3.903244346,5.069763028,1002.216275,23.55640616,283.8954134,0.5417927405,1.608469208,92.6279068,0.2946428571,0.01791570171
B002,B002,6,611H0399,61106450,upstream,0,ACCEPT,0.6929948413,5.076021463,1595.81702,13.6218204,68.75699857,0.1911033742,1.671102266,92.67500305,0.1,0.1167557932
B002,B002,7,611H0361,61106450,upstream,0,ACCEPT,0.2933851495,5.078147048,185.4933247,12.13039474,27.54674041,2.066556292,1.466474275,101,0,0.09840425532
B002,B002,8,61106450,61106450,outlet,1,ACCEPT,4.910781679,5.687440667,1080.31804,21.31564798,264.7193383,0.5723334927,1.558005492,95.09282684,0.2142279709,0.05402029351
B003,B003,0,611H0534,61109600,upstream,0,ACCEPT,3.624936495,3.624312246,882.1559988,23.53857016,186.7048082,0.4974061371,1.454792698,91.83795929,0.3595166163,0.008573117856
B003,B003,1,611H0547,61109600,upstream,0,ACCEPT,4.209702634,4.20907004,954.4827889,16.77015974,298.991559,0.6261307392,1.144957364,95.30548096,0.1468189233,0.04022801303
B003,B003,2,611E1500,61109600,upstream,0,ACCEPT,4.65298283,4.951094463,937.8195203,15.46892721,195.4980564,0.5437275748,1.197719951,97.28295135,0.05362776025,0.07899865737
B003,B003,3,611H0522,61109600,upstream,0,ACCEPT,4.499719217,5.69224245,988.5731181,15.91578251,240.327191,0.6258150874,1.1453378,97.22830963,0.1366384522,0.06969078003
B003,B003,4,61109600,61109600,outlet,1,ACCEPT,4.190203653,5.890405713,1018.519225,11.5884225,111.8410322,0.569882821,1.067882299,99.15940857,0.02006688963,0.4258518836
B004,B004,0,611H1651,61110900,upstream,0,ACCEPT,1.199675862,1.199202682,1649.514834,28.39875988,252.8302812,0.05137409541,1.618983726,91.51999664,0.5833333333,0
B004,B004,1,611K1658,61110900,upstream,0,ACCEPT,2.549916096,2.549293406,967.9704834,18.80231024,107.1533905,0.44469253,1.488842249,85.22285461,0.9174311927,0.001448281119
B004,B004,2,611E1810,61110900,upstream,0,ACCEPT,4.380867638,4.380195621,918.2345712,20.49923126,258.6752162,0.5273035002,1.513856133,93.21553802,0.6834924966,0.02182295232
B004,B004,3,611K1656,61110900,upstream,0,ACCEPT,4.680525458,4.679860743,923.6593407,23.73753359,279.2498156,0.4984089656,1.451115568,88.24385834,0.6737160121,0.004380127698
B004,B004,4,611H1655,61110900,upstream,0,ACCEPT,4.319531878,5.036669383,1080.323316,18.89641196,177.7044781,0.5851775213,1.3768122,95.63516998,0.4562682216,0.09156904401
