GRAPH_ID,DYNAMIC_FILE,NODE_COUNT,TIMESTAMP_COUNT,ROW_COUNT,RAIN_VALID_FRACTION,OUTLET_ID,OUTLET_FLOW_COVERAGE,OUTLET_LEVEL_COVERAGE
B001,E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\project\_model_dataset_v4_candidate\dynamic\graph_B001_hourly.csv,1,2606,2606,1,61105000,0.968534152,0.9765924789
B002,E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\project\_model_dataset_v4_candidate\dynamic\graph_B002_hourly.csv,9,2476,22284,1,61106450,0.99273021,0.9943457189
B003,E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\project\_model_dataset_v4_candidate\dynamic\graph_B003_hourly.csv,5,4691,23455,1,61109600,0.9654657855,0.9663184822
B004,E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\project\_model_dataset_v4_candidate\dynamic\graph_B004_hourly.csv,8,3626,29008,1,61110900,0.9867622725,0.9881412024
B005,E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\project\_model_dataset_v4_candidate\dynamic\graph_B005_hourly.csv,2,3403,6806,1,61113300,0.9794299148,0.9800176315
B006,E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\project\_model_dataset_v4_candidate\dynamic\graph_B006_hourly.csv,8,5154,41232,1,61116100,0.9664338378,0.9701202949
B007,E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\project\_model_dataset_v4_candidate\dynamic\graph_B007_hourly.csv,2,5297,10594,1,611E0470,0.9739475175,0.9745138758
B008,E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\project\_model_dataset_v4_candidate\dynamic\graph_B008_hourly.csv,3,3828,11484,1,611E1460,0,0.9399164054
B010,E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\project\_model_dataset_v4_candidate\dynamic\graph_B010_hourly.csv,3,4457,13371,1,611E2360,0,0.936280009
B011,E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\project\_model_dataset_v4_candidate\dynamic\graph_B011_hourly.csv,3,1674,5022,1,611E2536,0.9581839904,0.9581839904
B013,E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\project\_model_dataset_v4_candidate\dynamic\graph_B013_hourly.csv,4,2872,11488,1,611E2820,0,0.9885097493
B014,E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\project\_model_dataset_v4_candidate\dynamic\graph_B014_hourly.csv,6,2364,14184,1,611E2920,0,0.9471235195
B015,E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\project\_model_dataset_v4_candidate\dynamic\graph_B015_hourly.csv,1,1423,1423,1,611E2950,0.8517217147,0.9086437105
B016,E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\project\_model_dataset_v4_candidate\dynamic\graph_B016_hourly.csv,6,3373,20238,1,611G3160,0,0.9383338275
B017,E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\project\_model_dataset_v4_candidate\dynamic\graph_B017_hourly.csv,5,3285,16425,1,611H1650,0,0.9634703196
B018,E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\project\_model_dataset_v4_candidate\dynamic\graph_B018_hourly.csv,1,1734,1734,1,611H2032,0,0.9411764706
B019,E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\project\_model_dataset_v4_candidate\dynamic\graph_B019_hourly.csv,5,4286,21430,1,612E1060,0,0.9470368642
B020,E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\project\_model_dataset_v4_candidate\dynamic\graph_B020_hourly.csv,1,2529,2529,1,612E1940,0.9493871095,0.9620403321
B021,E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\project\_model_dataset_v4_candidate\dynamic\graph_B021_hourly.csv,2,1353,2706,1,612E2390,0.8832224686,0.8847006652
B022,E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\project\_model_dataset_v4_candidate\dynamic\graph_B022_hourly.csv,2,4017,8034,1,612E2800,0,0.9728653224
B023,E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\project\_model_dataset_v4_candidate\dynamic\graph_B023_hourly.csv,7,2066,14462,1,613E1450,0,0.9956437561
B024,E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\project\_model_dataset_v4_candidate\dynamic\graph_B024_hourly.csv,4,4954,19816,1,613E1540,0,0.9650787243
B025,E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\project\_model_dataset_v4_candidate\dynamic\graph_B025_hourly.csv,2,3746,7492,1,613E2580,0,0.9647624132
B026,E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\project\_model_dataset_v4_candidate\dynamic\graph_B026_hourly.csv,2,1585,3170,1,613E2680,0.9135646688,0.9148264984
B027,E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\project\_model_dataset_v4_candidate\dynamic\graph_B027_hourly.csv,2,396,792,1,613E2810,0.9873737374,0.9949494949
B028,E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\project\_model_dataset_v4_candidate\dynamic\graph_B028_hourly.csv,2,2315,4630,1,613G1535,0,0.9118790497
B029,E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\project\_model_dataset_v4_candidate\dynamic\graph_B029_hourly.csv,2,904,1808,1,613H1300,0,0.985619469
B030,E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\project\_model_dataset_v4_candidate\dynamic\graph_B030_hourly.csv,4,880,3520,1,613H9508,0,0.9352272727
B031,E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\project\_model_dataset_v4_candidate\dynamic\graph_B031_hourly.csv,3,5158,15474,1,61402050,0.2778208608,0.9955409073
B032,E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\project\_model_dataset_v4_candidate\dynamic\graph_B032_hourly.csv,2,4771,9542,1,614E1550,0.2875707399,0.9406832949
B033,E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\project\_model_dataset_v4_candidate\dynamic\graph_B033_hourly.csv,1,3760,3760,1,61510100,0.9800531915,0.9805851064
