FILE,STATION_ID,ROW_COUNT_RAW,ROW_COUNT_USED,INTERNAL_ID_MISMATCH,HAS_FLOW_FIELD,HAS_LEVEL_FIELD,NEGATIVE_FLOW_RAW_AS_MISSING,NEGATIVE_FLOW_IN_RANGE_AS_MISSING,NEGATIVE_FLOW_SELECTED_AS_MISSING,NEGATIVE_FLOW_RAW_RETAINED,NEGATIVE_FLOW_IN_RANGE_RETAINED,NEGATIVE_FLOW_SELECTED_RETAINED,STATUS
E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\归档_正确解压\河道\三里溪_613K2251.csv,613K2251,8,0,0,1,1,0,0,0,0,0,0,LOADED
E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\归档_正确解压\河道\上扶水库_611H2605.csv,611H2605,95,0,0,1,1,0,0,0,0,0,0,LOADED
E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\归档_正确解压\河道\东泉公园_611H0751.csv,611H0751,1659,1622,0,1,1,0,0,0,0,0,0,LOADED
E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\归档_正确解压\河道\临湘_617E2950.csv,617E2950,81204,42392,0,1,1,0,0,0,0,0,0,LOADED
E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\归档_正确解压\河道\乌川水库_611F2023.csv,611F2023,15813,14832,0,1,1,0,0,0,0,0,0,LOADED
E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\归档_正确解压\河道\乾州_613E1540.csv,613E1540,81407,42151,0,1,1,0,0,0,0,0,0,LOADED
E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\归档_正确解压\河道\井坡_611G3130.csv,611G3130,80458,40776,0,1,1,0,0,0,0,0,0,LOADED
E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\归档_正确解压\河道\先锋_613H0214.csv,613H0214,19505,16431,0,1,1,0,0,0,0,0,0,LOADED
E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\归档_正确解压\河道\八家湾大桥_614H0033.csv,614H0033,366,317,0,1,1,0,0,0,0,0,0,LOADED
E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\归档_正确解压\河道\六步溪_612E2390.csv,612E2390,70739,40074,0,1,1,0,0,0,0,0,0,LOADED
E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\归档_正确解压\河道\军民水库_611H1843.csv,611H1843,33,1,0,1,1,0,0,0,0,0,0,LOADED
E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\归档_正确解压\河道\刘家岗_614E1550.csv,614E1550,81955,42705,0,1,1,0,0,0,0,0,0,LOADED
E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\归档_正确解压\河道\加义(二)_61510100.csv,61510100,81875,42182,0,1,1,0,0,0,0,0,0,LOADED
E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\归档_正确解压\河道\县城_613H1300.csv,613H1300,79508,40002,0,1,1,0,0,0,0,0,0,LOADED
E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\归档_正确解压\河道\合水_613E0900.csv,613E0900,63050,40279,0,1,1,0,0,0,0,0,0,LOADED
E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\归档_正确解压\河道\吉信_613E1630.csv,613E1630,75548,36374,0,1,1,0,0,0,0,0,0,LOADED
E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\归档_正确解压\河道\团结水库_611H1860.csv,611H1860,28,1,0,1,1,0,0,0,0,0,0,LOADED
E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\归档_正确解压\河道\坪村_613E0590.csv,613E0590,77747,41783,0,1,1,0,0,0,0,0,0,LOADED
E:\FSN-PostDoc\other-projects\Flash flood prediction\Hunan\归档_正确解压\河道\城关_611G3150.csv,611G3150,70551,35988,0,1,1,0,0,0,0,0,0,LOADED
