EVENT_ID,GRAPH_ID,OUTLET_ID,EVENT_YEAR,EVENT_TYPE,EVENT_GRADE,SPLIT,SPLIT_REASON
B022_F0001,B022,612E2800,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B021_F0001,B021,612E2390,2021,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B024_F0001,B024,613E1540,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B017_F0001,B017,611H1650,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B011_F0001,B011,611E2536,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B017_F0002,B017,611H1650,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B025_F0001,B025,613E2580,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B034_F0001,B034,61711890,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B006_F0001,B006,61116100,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B019_F0001,B019,612E1060,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B025_F0002,B025,613E2580,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B032_F0001,B032,614E1550,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B031_F0001,B031,61402050,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B034_F0002,B034,61711890,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B006_F0002,B006,61116100,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B013_F0001,B013,611E2820,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B018_F0001,B018,611H2032,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B005_F0001,B005,61113300,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B018_F0002,B018,611H2032,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B020_F0001,B020,612E1940,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B034_F0003,B034,61711890,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B022_F0002,B022,612E2800,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B006_F0003,B006,61116100,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B010_F0001,B010,611E2360,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B003_F0001,B003,61109600,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B019_F0002,B019,612E1060,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B021_F0002,B021,612E2390,2021,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B031_F0002,B031,61402050,2021,HYDRO_FLOOD,A,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
B019_F0003,B019,612E1060,2021,HYDRO_FLOOD,B,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT
