GRAPH_ID,OUTLET_ID,RAIN_START,RAIN_END,HYDRO_START,PEAK_TIME,HYDRO_END,SAMPLE_START,SAMPLE_END,EVENT_TYPE,EVENT_GRADE,COMPOUND_EVENT,PEAK_COUNT,SOURCE_RAIN_EVENT_IDS,SOURCE_RAIN_EVENT_COUNT,BASIN_ID,SOURCE_HYDRO_END,TIME_CONTRACT_STATUS,TIME_CONTRACT_ACTION,TIME_CONTRACT_REASON,EVENT_ID,SOURCE_EVENT_IDS,SOURCE_EVENT_COUNT,EVENT_MERGE_STATUS,SPLIT,SPLIT_REASON,EVENT_YEAR
B022,612E2800,2021-04-11 19:00:00,2021-04-12 13:00:00,2021-04-12 07:00:00,2021-04-12 10:00:00,2021-04-13 09:00:00,2021-04-09 19:00:00,2021-04-14 13:00:00,HYDRO_FLOOD,A,False,1,B022_R00001,1,B022,2021-04-13 09:00:00,UNCHANGED,NONE,,B022_F0001,B022_F0001,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2021
B021,612E2390,2021-04-11 19:00:00,2021-04-12 15:00:00,2021-04-12 09:00:00,2021-04-14 09:00:00,,2021-04-09 19:00:00,2021-04-14 15:00:00,HYDRO_FLOOD,B,False,1,B021_R00001,1,B021,,UNCHANGED,NONE,,B021_F0001,B021_F0001,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2021
B024,613E1540,2021-04-13 20:00:00,2021-04-15 13:00:00,2021-04-14 03:00:00,2021-04-14 12:00:00,2021-04-15 12:00:00,2021-04-11 20:00:00,2021-04-17 13:00:00,HYDRO_FLOOD,A,False,1,B024_R00002,1,B024,2021-04-15 12:00:00,UNCHANGED,NONE,,B024_F0001,B024_F0001,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2021
B017,611H1650,2021-04-13 23:00:00,2021-04-17 14:00:00,2021-04-14 18:00:00,2021-04-15 08:00:00,2021-04-15 14:00:00,2021-04-11 23:00:00,2021-04-19 14:00:00,HYDRO_FLOOD,A,False,1,B017_R00001,1,B017,2021-04-15 14:00:00,UNCHANGED,NONE,,B017_F0001,B017_F0001,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2021
B011,611E2536,2021-04-18 02:00:00,2021-04-19 11:00:00,2021-04-18 22:00:00,2021-04-18 22:00:00,2021-04-19 01:00:00,2021-04-16 02:00:00,2021-04-21 11:00:00,HYDRO_FLOOD,A,False,1,B011_R00003,1,B011,2021-04-19 01:00:00,UNCHANGED,NONE,,B011_F0001,B011_F0001,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2021
B017,611H1650,2021-04-18 03:00:00,2021-04-20 14:00:00,2021-04-18 07:00:00,2021-04-19 15:00:00,2021-04-19 19:00:00,2021-04-16 03:00:00,2021-04-22 14:00:00,HYDRO_FLOOD,A,False,1,B017_R00002,1,B017,2021-04-19 19:00:00,UNCHANGED,NONE,,B017_F0002,B017_F0002,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2021
B025,613E2580,2021-04-19 23:00:00,2021-04-22 09:00:00,2021-04-21 14:00:00,2021-04-21 23:00:00,2021-04-23 15:00:00,2021-04-17 23:00:00,2021-04-24 09:00:00,HYDRO_FLOOD,A,False,1,B025_R00001,1,B025,2021-04-23 15:00:00,UNCHANGED,NONE,,B025_F0001,B025_F0001,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2021
B034,61711890,2021-04-20 14:00:00,2021-04-22 14:00:00,2021-04-21 01:00:00,2021-04-22 01:00:00,2021-04-23 15:00:00,2021-04-18 14:00:00,2021-04-24 14:00:00,HYDRO_FLOOD,A,False,1,B034_R00001,1,B034,2021-04-23 15:00:00,UNCHANGED,NONE,,B034_F0001,B034_F0001,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2021
B006,61116100,2021-04-21 18:00:00,2021-04-22 08:00:00,2021-04-21 23:00:00,2021-04-22 06:00:00,2021-04-22 21:00:00,2021-04-19 18:00:00,2021-04-24 08:00:00,HYDRO_FLOOD,A,False,1,B006_R00003,1,B006,2021-04-22 21:00:00,UNCHANGED,NONE,,B006_F0001,B006_F0001,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2021
B019,612E1060,2021-04-21 17:00:00,2021-04-22 08:00:00,2021-04-22 01:00:00,2021-04-22 07:00:00,2021-04-23 08:00:00,2021-04-19 17:00:00,2021-04-24 08:00:00,HYDRO_FLOOD,A,False,1,B019_R00002,1,B019,2021-04-23 08:00:00,UNCHANGED,NONE,,B019_F0001,B019_F0001,1,UNCHANGED,TRAIN,GLOBAL_CHRONOLOGICAL_EVENT_SPLIT,2021
