GRAPH_ID,OUTLET_ID,TARGET_VARIABLE,TARGET_COVERAGE,TARGET_SELECTION_REASON
B001,61105000,FLOW,0.968534152,FLOW_COVERAGE_OK
B002,61106450,FLOW,0.99273021,FLOW_COVERAGE_OK
B003,61109600,FLOW,0.9649198787,FLOW_COVERAGE_OK
B004,61110900,FLOW,0.9867622725,FLOW_COVERAGE_OK
B005,61113300,FLOW,0.9794299148,FLOW_COVERAGE_OK
B006,61116100,FLOW,0.9664338378,FLOW_COVERAGE_OK
B007,611E0470,FLOW,0.9739475175,FLOW_COVERAGE_OK
B008,611E1460,WATER_LEVEL,0.9399164054,FLOW_INCOMPLETE_USE_LEVEL
B010,611E2360,WATER_LEVEL,0.936280009,FLOW_INCOMPLETE_USE_LEVEL
B011,611E2536,FLOW,0.9581839904,FLOW_COVERAGE_OK
B013,611E2820,WATER_LEVEL,0.9885097493,FLOW_INCOMPLETE_USE_LEVEL
B014,611E2920,WATER_LEVEL,0.9471235195,FLOW_INCOMPLETE_USE_LEVEL
B015,611E2950,FLOW,0.8517217147,FLOW_COVERAGE_OK
B016,611G3160,WATER_LEVEL,0.9580797836,FLOW_INCOMPLETE_USE_LEVEL
B017,611H1650,WATER_LEVEL,0.9634703196,FLOW_INCOMPLETE_USE_LEVEL
B018,611H2032,WATER_LEVEL,0.9408352668,FLOW_INCOMPLETE_USE_LEVEL
B019,612E1060,WATER_LEVEL,0.9669777459,FLOW_INCOMPLETE_USE_LEVEL
B020,612E1940,FLOW,0.9493871095,FLOW_COVERAGE_OK
B021,612E2390,FLOW,0.8832224686,FLOW_COVERAGE_OK
B022,612E2800,WATER_LEVEL,0.972734158,FLOW_INCOMPLETE_USE_LEVEL
B023,613E1450,WATER_LEVEL,0.9956437561,FLOW_INCOMPLETE_USE_LEVEL
B024,613E1540,WATER_LEVEL,0.965390129,FLOW_INCOMPLETE_USE_LEVEL
B025,613E2580,WATER_LEVEL,0.9647624132,FLOW_INCOMPLETE_USE_LEVEL
B026,613E2680,FLOW,0.9157485418,FLOW_COVERAGE_OK
B027,613E2810,FLOW,0.9873737374,FLOW_COVERAGE_OK
B028,613G1535,WATER_LEVEL,0.9118790497,FLOW_INCOMPLETE_USE_LEVEL
B029,613H1300,WATER_LEVEL,0.985619469,FLOW_INCOMPLETE_USE_LEVEL
B030,613H9508,WATER_LEVEL,0.9352272727,FLOW_INCOMPLETE_USE_LEVEL
B031,61402050,WATER_LEVEL,0.9955409073,FLOW_INCOMPLETE_USE_LEVEL
B032,614E1550,WATER_LEVEL,0.9406832949,FLOW_INCOMPLETE_USE_LEVEL
B033,61510100,FLOW,0.9800531915,FLOW_COVERAGE_OK
B034,61711890,WATER_LEVEL,0.9803524993,FLOW_INCOMPLETE_USE_LEVEL
B035,810G0060,WATER_LEVEL,0.9824561404,FLOW_INCOMPLETE_USE_LEVEL
