GRAPH_ID,FROM_NODE,TO_NODE,FROM_STATION,TO_STATION,reach_length_km,reach_slope_m_per_m,GRAPH_QC
B002,7,8,611H0361,61106450,18.372942,0.006042934727,ACCEPT
B002,1,3,611H0393,611H0395,7.203267228,0.008547265478,ACCEPT
B002,2,3,611H0394,611H0395,2.227123792,0.01189868633,ACCEPT
B002,3,4,611H0395,611H0398,0.2176044214,0.003516041615,ACCEPT
B002,5,6,611H0396,611H0399,0.1853251337,0.04506833345,ACCEPT
B002,0,3,611H0397,611H0395,6.222438602,0.01012410352,ACCEPT
B002,4,5,611H0398,611H0396,2.757921796,0.001996612178,ACCEPT
B002,6,7,611H0399,611H0361,0.6454467368,0.009452766551,ACCEPT
B003,2,3,611E1500,611H0522,11.90418662,0.002616052993,ACCEPT
B003,3,4,611H0522,61109600,10.28318599,0.00214285287,ACCEPT
B003,0,2,611H0534,611E1500,15.41879085,0.01584135747,ACCEPT
B003,1,3,611H0547,611H0522,13.48457548,0.003102198727,ACCEPT
B004,5,6,611E1800,611H1650,2.475408823,0.006092324432,ACCEPT
B004,2,4,611E1810,611H1655,3.365421544,0.001396333411,ACCEPT
B004,6,7,611H1650,61110900,33.46399168,0.003501125096,ACCEPT
B004,0,6,611H1651,611H1650,15.52521785,0.01822197203,ACCEPT
B004,4,7,611H1655,61110900,4.536036874,0.003741450902,ACCEPT
B004,3,5,611K1656,611E1800,17.57066112,0.0239413116,ACCEPT
B004,1,6,611K1658,611H1650,36.00030788,0.03070609048,ACCEPT
B005,0,1,611H7703,61113300,10.32289895,0.002096917819,ACCEPT
B006,3,6,611H1843,611H1899,12.42354144,0.003648112388,ACCEPT
B006,5,7,611H1844,61116100,32.77323524,0.002261669738,ACCEPT
B006,0,7,611H1845,61116100,11.67754318,0.001819772919,ACCEPT
B006,1,7,611H1856,61116100,8.541169949,0.004075067416,ACCEPT
B006,4,7,611H1857,61116100,34.47003309,0.003017875601,ACCEPT
B006,2,6,611H1860,611H1899,13.63801817,0.004153280939,ACCEPT
B006,6,7,611H1899,61116100,14.59720809,0.000437326842,ACCEPT
B007,0,1,611K0151,611E0470,18.74044721,0.01096265803,ACCEPT
B008,1,2,611H4513,611E1460,0.1246304337,0.02541669797,ACCEPT
B008,0,1,611K0501,611H4513,15.00952108,0.01734728267,ACCEPT
B009,0,1,61111950,611E1998,18.21578513,0.003546613378,ACCEPT
B010,0,1,611H7406,611T2300,10.8849043,0.002815904961,ACCEPT
B010,1,2,611T2300,611E2360,5.57648013,0.0006107463929,ACCEPT
B011,0,2,61114260,611E2536,23.97982366,0.001670957863,ACCEPT
B011,1,2,611H7405,611E2536,18.98868654,0.0006884950152,ACCEPT
B012,0,1,611H2656,611H2657,2.976199932,0.007654406467,ACCEPT
B012,1,2,611H2657,611E2590,1.231416294,1e-05,ACCEPT
B013,0,1,611F2000,611F2023,5.588485562,0.0009617362322,ACCEPT
B013,1,2,611F2023,611F2025,7.612871627,0.0008532593954,ACCEPT
B013,2,3,611F2025,611E2820,0.9575702976,0.006191295121,ACCEPT
B014,1,5,61116750,611E2920,8.798922989,0.003959887246,ACCEPT
B014,3,5,611H1952,611E2920,17.07526257,0.001666514293,ACCEPT
B014,2,5,611H2605,611E2920,13.50293387,0.00666887608,ACCEPT
B014,4,5,611K2623,611E2920,14.65816641,0.002545326683,ACCEPT
B014,0,5,611K2634,611E2920,23.80905487,0.004846958012,ACCEPT
B016,4,5,61108780,611G3160,7.592907734,0.001666747047,ACCEPT
B016,0,3,611G3130,611G3140,12.9800064,0.002459438152,ACCEPT
B016,3,4,611G3140,61108780,4.445713372,0.001222745073,ACCEPT
B016,2,4,611G3150,61108780,1.819203738,0.003239667773,ACCEPT
B016,1,4,611H0751,61108780,4.736126122,0.003102091066,ACCEPT
B017,3,4,611E1800,611H1650,2.475408823,0.006092324432,ACCEPT
B017,0,4,611H1651,611H1650,15.52521785,0.01822197203,ACCEPT
B017,2,3,611K1656,611E1800,17.57066112,0.0239413116,ACCEPT
B017,1,4,611K1658,611H1650,36.00030788,0.03070609048,ACCEPT
B019,3,4,612H0500,612E1060,13.1034031,0.003476085801,ACCEPT
B019,1,4,612H0510,612E1060,17.24538168,0.01196578107,ACCEPT
B019,0,4,612H0511,612E1060,22.06988126,0.005874180043,ACCEPT
B019,2,4,612K0504,612E1060,18.41267624,0.004405013818,ACCEPT
B021,0,1,612H1255,612E2390,3.514693755,0.004450757943,ACCEPT
B022,0,1,612E2790,612E2800,9.354879584,0.001596430781,ACCEPT
B023,5,6,61310550,613E1450,1.683259608,0.01796945241,ACCEPT
B023,3,4,613E0900,613H0212,3.31067535,0.005925470636,ACCEPT
B023,4,5,613H0212,61310550,37.37370341,0.005165918853,ACCEPT
B023,0,5,613H0213,61310550,39.23011727,0.00636812981,ACCEPT
B023,2,3,613H0214,613E0900,2.049211838,0.007212275328,ACCEPT
B023,1,2,613H0215,613H0214,5.60230776,0.00508721652,ACCEPT
B024,1,2,613E1630,613H0207,13.82465713,0.006678040829,ACCEPT
B024,2,3,613H0207,613E1540,5.682581491,0.00298617134,ACCEPT
B024,0,3,613K0001,613E1540,18.03785409,0.007441871781,ACCEPT
B025,0,1,613H2404,613E2580,7.364776912,0.001441587981,ACCEPT
B026,0,1,613H2228,613E2680,17.80582759,0.002034234543,ACCEPT
B027,0,1,613K2251,613E2810,28.64303962,0.001757300466,ACCEPT
B028,0,1,613H0107,613G1535,22.54737975,0.002371348588,ACCEPT
B029,0,1,613E0590,613H1300,12.41392195,0.001629104151,ACCEPT
B030,1,2,613E1060,613H9504,15.85678077,0.003577406495,ACCEPT
B030,0,2,613H1902,613H9504,16.2391479,0.005526842048,ACCEPT
B030,2,3,613H9504,613H9508,1.783846866,0.001265886796,ACCEPT
B031,0,1,614E1950,614G2040,11.26901247,0.02497202532,ACCEPT
B031,1,2,614G2040,61402050,2.279225252,0.0132680235,ACCEPT
B032,0,1,614H0033,614E1550,6.339545592,0.006422456233,ACCEPT
B034,0,1,617E2950,61711890,17.9481693,0.001041219746,ACCEPT
