GRAPH_ID,FROM_NODE,TO_NODE,FROM_STATION,TO_STATION
B002,7,8,611H0361,61106450
B002,1,3,611H0393,611H0395
B002,2,3,611H0394,611H0395
B002,3,4,611H0395,611H0398
B002,5,6,611H0396,611H0399
B002,0,3,611H0397,611H0395
B002,4,5,611H0398,611H0396
B002,6,7,611H0399,611H0361
B003,2,3,611E1500,611H0522
B003,3,4,611H0522,61109600
B003,0,2,611H0534,611E1500
B003,1,3,611H0547,611H0522
B004,5,6,611E1800,611H1650
B004,2,4,611E1810,611H1655
B004,6,7,611H1650,61110900
B004,0,6,611H1651,611H1650
B004,4,7,611H1655,61110900
B004,3,5,611K1656,611E1800
B004,1,6,611K1658,611H1650
B005,0,1,611H7703,61113300
B006,3,6,611H1843,611H1899
B006,5,7,611H1844,61116100
B006,0,7,611H1845,61116100
B006,1,7,611H1856,61116100
B006,4,7,611H1857,61116100
B006,2,6,611H1860,611H1899
B006,6,7,611H1899,61116100
B007,0,1,611K0151,611E0470
B008,1,2,611H4513,611E1460
B008,0,1,611K0501,611H4513
B009,0,1,61111950,611E1998
B010,0,1,611H7406,611T2300
B010,1,2,611T2300,611E2360
B011,0,2,61114260,611E2536
B011,1,2,611H7405,611E2536
B012,0,1,611H2656,611H2657
B012,1,2,611H2657,611E2590
B013,0,1,611F2000,611F2023
B013,1,2,611F2023,611F2025
B013,2,3,611F2025,611E2820
B014,1,5,61116750,611E2920
B014,3,5,611H1952,611E2920
B014,2,5,611H2605,611E2920
B014,4,5,611K2623,611E2920
B014,0,5,611K2634,611E2920
B016,4,5,61108780,611G3160
B016,0,3,611G3130,611G3140
B016,3,4,611G3140,61108780
B016,2,4,611G3150,61108780
B016,1,4,611H0751,61108780
B017,3,4,611E1800,611H1650
B017,0,4,611H1651,611H1650
B017,2,3,611K1656,611E1800
B017,1,4,611K1658,611H1650
B019,3,4,612H0500,612E1060
B019,1,4,612H0510,612E1060
B019,0,4,612H0511,612E1060
B019,2,4,612K0504,612E1060
B021,0,1,612H1255,612E2390
B022,0,1,612E2790,612E2800
B023,5,6,61310550,613E1450
B023,3,4,613E0900,613H0212
B023,4,5,613H0212,61310550
B023,0,5,613H0213,61310550
B023,2,3,613H0214,613E0900
B023,1,2,613H0215,613H0214
B024,1,2,613E1630,613H0207
B024,2,3,613H0207,613E1540
B024,0,3,613K0001,613E1540
B025,0,1,613H2404,613E2580
B026,0,1,613H2228,613E2680
B027,0,1,613K2251,613E2810
B028,0,1,613H0107,613G1535
B029,0,1,613E0590,613H1300
B030,1,2,613E1060,613H9504
B030,0,2,613H1902,613H9504
B030,2,3,613H9504,613H9508
B031,0,1,614E1950,614G2040
B031,1,2,614G2040,61402050
B032,0,1,614H0033,614E1550
B034,0,1,617E2950,61711890
