GRAPH_ID,BASIN_ID,NODE_INDEX,STATION_ID,OUTLET_ID,ROLE,IS_OUTLET,STATIC_QC
B001,B001,0,61105000,61105000,outlet,1,ACCEPT
B002,B002,0,611H0397,61106450,upstream,0,ACCEPT
B002,B002,1,611H0393,61106450,upstream,0,ACCEPT
B002,B002,2,611H0394,61106450,upstream,0,ACCEPT
B002,B002,3,611H0395,61106450,upstream,0,ACCEPT
B002,B002,4,611H0398,61106450,upstream,0,ACCEPT
B002,B002,5,611H0396,61106450,upstream,0,ACCEPT
B002,B002,6,611H0399,61106450,upstream,0,ACCEPT
B002,B002,7,611H0361,61106450,upstream,0,ACCEPT
B002,B002,8,61106450,61106450,outlet,1,ACCEPT
B003,B003,0,611H0534,61109600,upstream,0,ACCEPT
B003,B003,1,611H0547,61109600,upstream,0,ACCEPT
B003,B003,2,611E1500,61109600,upstream,0,ACCEPT
B003,B003,3,611H0522,61109600,upstream,0,ACCEPT
B003,B003,4,61109600,61109600,outlet,1,ACCEPT
B004,B004,0,611H1651,61110900,upstream,0,ACCEPT
B004,B004,1,611K1658,61110900,upstream,0,ACCEPT
B004,B004,2,611E1810,61110900,upstream,0,ACCEPT
B004,B004,3,611K1656,61110900,upstream,0,ACCEPT
B004,B004,4,611H1655,61110900,upstream,0,ACCEPT
B004,B004,5,611E1800,61110900,upstream,0,ACCEPT
B004,B004,6,611H1650,61110900,upstream,0,ACCEPT
B004,B004,7,61110900,61110900,outlet,1,ACCEPT
B005,B005,0,611H7703,61113300,upstream,0,ACCEPT
B005,B005,1,61113300,61113300,outlet,1,ACCEPT
B006,B006,0,611H1845,61116100,upstream,0,ACCEPT
B006,B006,1,611H1856,61116100,upstream,0,ACCEPT
B006,B006,2,611H1860,61116100,upstream,0,ACCEPT
B006,B006,3,611H1843,61116100,upstream,0,ACCEPT
B006,B006,4,611H1857,61116100,upstream,0,ACCEPT
B006,B006,5,611H1844,61116100,upstream,0,ACCEPT
B006,B006,6,611H1899,61116100,upstream,0,ACCEPT
B006,B006,7,61116100,61116100,outlet,1,ACCEPT
B007,B007,0,611K0151,611E0470,upstream,0,ACCEPT
B007,B007,1,611E0470,611E0470,outlet,1,ACCEPT
B008,B008,0,611K0501,611E1460,upstream,0,ACCEPT
B008,B008,1,611H4513,611E1460,upstream,0,ACCEPT
B008,B008,2,611E1460,611E1460,outlet,1,ACCEPT
B009,B009,0,61111950,611E1998,upstream,0,ACCEPT
B009,B009,1,611E1998,611E1998,outlet,1,ACCEPT
B010,B010,0,611H7406,611E2360,upstream,0,ACCEPT
B010,B010,1,611T2300,611E2360,upstream,0,ACCEPT
B010,B010,2,611E2360,611E2360,outlet,1,ACCEPT
B011,B011,0,61114260,611E2536,upstream,0,ACCEPT
B011,B011,1,611H7405,611E2536,upstream,0,ACCEPT
B011,B011,2,611E2536,611E2536,outlet,1,ACCEPT
B012,B012,0,611H2656,611E2590,upstream,0,ACCEPT
B012,B012,1,611H2657,611E2590,upstream,0,ACCEPT
B012,B012,2,611E2590,611E2590,outlet,1,ACCEPT
B013,B013,0,611F2000,611E2820,upstream,0,ACCEPT
B013,B013,1,611F2023,611E2820,upstream,0,ACCEPT
B013,B013,2,611F2025,611E2820,upstream,0,ACCEPT
B013,B013,3,611E2820,611E2820,outlet,1,ACCEPT
B014,B014,0,611K2634,611E2920,upstream,0,ACCEPT
B014,B014,1,61116750,611E2920,upstream,0,ACCEPT
B014,B014,2,611H2605,611E2920,upstream,0,ACCEPT
B014,B014,3,611H1952,611E2920,upstream,0,ACCEPT
B014,B014,4,611K2623,611E2920,upstream,0,ACCEPT
B014,B014,5,611E2920,611E2920,outlet,1,ACCEPT
B015,B015,0,611E2950,611E2950,outlet,1,ACCEPT
B016,B016,0,611G3130,611G3160,upstream,0,ACCEPT
B016,B016,1,611H0751,611G3160,upstream,0,ACCEPT
B016,B016,2,611G3150,611G3160,upstream,0,ACCEPT
B016,B016,3,611G3140,611G3160,upstream,0,ACCEPT
B016,B016,4,61108780,611G3160,upstream,0,ACCEPT
B016,B016,5,611G3160,611G3160,outlet,1,ACCEPT
B017,B017,0,611H1651,611H1650,upstream,0,ACCEPT
B017,B017,1,611K1658,611H1650,upstream,0,ACCEPT
B017,B017,2,611K1656,611H1650,upstream,0,ACCEPT
B017,B017,3,611E1800,611H1650,upstream,0,ACCEPT
B017,B017,4,611H1650,611H1650,outlet,1,ACCEPT
B018,B018,0,611H2032,611H2032,outlet,1,ACCEPT
B019,B019,0,612H0511,612E1060,upstream,0,ACCEPT
B019,B019,1,612H0510,612E1060,upstream,0,ACCEPT
B019,B019,2,612K0504,612E1060,upstream,0,ACCEPT
B019,B019,3,612H0500,612E1060,upstream,0,ACCEPT
B019,B019,4,612E1060,612E1060,outlet,1,ACCEPT
B020,B020,0,612E1940,612E1940,outlet,1,ACCEPT
B021,B021,0,612H1255,612E2390,upstream,0,ACCEPT
B021,B021,1,612E2390,612E2390,outlet,1,ACCEPT
B022,B022,0,612E2790,612E2800,upstream,0,ACCEPT
B022,B022,1,612E2800,612E2800,outlet,1,ACCEPT
B023,B023,0,613H0213,613E1450,upstream,0,ACCEPT
B023,B023,1,613H0215,613E1450,upstream,0,ACCEPT
B023,B023,2,613H0214,613E1450,upstream,0,ACCEPT
B023,B023,3,613E0900,613E1450,upstream,0,ACCEPT
