ITEM,VALUE
graph_count,35
node_count,116
edge_count,81
source_event_count,806
event_time_contract_repair_count,1
water_level_reference_excluded_event_count,2
no_valid_target_sample_excluded_event_count,1
event_exclusion_count,9
event_count_before_merge,797
event_merge_reduction_count,14
merged_event_component_count,13
event_count,783
train_event_count,548
validation_event_count,117
test_event_count,118
sample_count,38393
train_sample_count,27594
validation_sample_count,5298
test_sample_count,5501
rejected_candidate_window_count,1735
event_without_sample_count,0
dynamic_row_count,354074
missing_static_feature_count,0
