GRAPH_ID,STATION_ID,EVENT_ID,SPLIT,TARGET_HOUR_COUNT,MIN_Z,MAX_Z,MEDIAN_Z,TRAIN_EVENT_COUNT,TRAIN_MEDIAN_Q1,TRAIN_MEDIAN_Q3,TRAIN_MEDIAN_IQR,TRAIN_OUTER_FENCE_LOW,TRAIN_OUTER_FENCE_HIGH,OUTSIDE_TRAIN_OUTER_FENCE,QC_STATUS,QC_REASON,ACTION,MASKED_SOURCE_ROW_COUNT
B008,611E1460,B008_F0001,TRAIN,69,141.61,142.07,141.78,25,141.335,141.735,0.4,140.135,142.935,0,OK,NONE,NONE,0
B008,611E1460,B008_F0002,TRAIN,40,141.72,142.07,141.83,25,141.335,141.735,0.4,140.135,142.935,0,OK,NONE,NONE,0
B008,611E1460,B008_F0003,TRAIN,57,141.92,142.62,142.09,25,141.335,141.735,0.4,140.135,142.935,0,OK,NONE,NONE,0
B008,611E1460,B008_F0004,TRAIN,12,141.32,141.58,141.32,25,141.335,141.735,0.4,140.135,142.935,0,OK,NONE,NONE,0
B008,611E1460,B008_F0005,TRAIN,11,141.32,141.43,141.33,25,141.335,141.735,0.4,140.135,142.935,0,OK,NONE,NONE,0
B008,611E1460,B008_F0006,TRAIN,52,141.31,141.66,141.5,25,141.335,141.735,0.4,140.135,142.935,0,OK,NONE,NONE,0
B008,611E1460,B008_F0007,TRAIN,66,141.72,142.07,141.81,25,141.335,141.735,0.4,140.135,142.935,0,OK,NONE,NONE,0
B008,611E1460,B008_F0008,TRAIN,66,141.33,141.71,141.52,25,141.335,141.735,0.4,140.135,142.935,0,OK,NONE,NONE,0
B008,611E1460,B008_F0009,TRAIN,24,141.61,141.84,141.735,25,141.335,141.735,0.4,140.135,142.935,0,OK,NONE,NONE,0
B008,611E1460,B008_F0010,TRAIN,81,141.32,141.85,141.54,25,141.335,141.735,0.4,140.135,142.935,0,OK,NONE,NONE,0
B008,611E1460,B008_F0011,TRAIN,58,141.31,141.53,141.335,25,141.335,141.735,0.4,140.135,142.935,0,OK,NONE,NONE,0
B008,611E1460,B008_F0012,TRAIN,20,141.29,141.46,141.345,25,141.335,141.735,0.4,140.135,142.935,0,OK,NONE,NONE,0
B008,611E1460,B008_F0013,TRAIN,40,141.32,142.08,141.425,25,141.335,141.735,0.4,140.135,142.935,0,OK,NONE,NONE,0
B008,611E1460,B008_F0014,TRAIN,20,141.3,141.42,141.33,25,141.335,141.735,0.4,140.135,142.935,0,OK,NONE,NONE,0
B008,611E1460,B008_F0015,TRAIN,14,141.29,141.4,141.33,25,141.335,141.735,0.4,140.135,142.935,0,OK,NONE,NONE,0
B008,611E1460,B008_F0016,TRAIN,44,141.29,141.39,141.33,25,141.335,141.735,0.4,140.135,142.935,0,OK,NONE,NONE,0
B008,611E1460,B008_F0017,TRAIN,24,141.32,141.86,141.38,25,141.335,141.735,0.4,140.135,142.935,0,OK,NONE,NONE,0
B008,611E1460,B008_F0018,TRAIN,17,141.29,141.45,141.35,25,141.335,141.735,0.4,140.135,142.935,0,OK,NONE,NONE,0
B008,611E1460,B008_F0019,TRAIN,18,141.3,141.42,141.34,25,141.335,141.735,0.4,140.135,142.935,0,OK,NONE,NONE,0
B008,611E1460,B008_F0020,TRAIN,19,141.32,141.41,141.33,25,141.335,141.735,0.4,140.135,142.935,0,OK,NONE,NONE,0
B008,611E1460,B008_F0021,TRAIN,55,141.39,141.51,141.47,25,141.335,141.735,0.4,140.135,142.935,0,OK,NONE,NONE,0
B008,611E1460,B008_F0022,TRAIN,35,141.4,141.53,141.47,25,141.335,141.735,0.4,140.135,142.935,0,OK,NONE,NONE,0
B008,611E1460,B008_F0023,TRAIN,97,141.69,141.9,141.79,25,141.335,141.735,0.4,140.135,142.935,0,OK,NONE,NONE,0
B008,611E1460,B008_F0024,TRAIN,26,141.75,141.9,141.805,25,141.335,141.735,0.4,140.135,142.935,0,OK,NONE,NONE,0
B008,611E1460,B008_F0025,TRAIN,59,141.44,141.68,141.5,25,141.335,141.735,0.4,140.135,142.935,0,OK,NONE,NONE,0
B008,611E1460,B008_F0026,VALIDATION,95,141.41,141.59,141.49,25,141.335,141.735,0.4,140.135,142.935,0,OK,NONE,NONE,0
B008,611E1460,B008_F0027,VALIDATION,9,141.6,141.72,141.62,25,141.335,141.735,0.4,140.135,142.935,0,OK,NONE,NONE,0
B008,611E1460,B008_F0028,VALIDATION,45,141.72,141.96,141.82,25,141.335,141.735,0.4,140.135,142.935,0,OK,NONE,NONE,0
B008,611E1460,B008_F0029,VALIDATION,6,141.6,141.61,141.6,25,141.335,141.735,0.4,140.135,142.935,0,OK,NONE,NONE,0
B008,611E1460,B008_F0030,VALIDATION,108,141.67,142.35,142.06,25,141.335,141.735,0.4,140.135,142.935,0,OK,NONE,NONE,0
B008,611E1460,B008_F0031,TEST,17,141.55,141.7,141.62,25,141.335,141.735,0.4,140.135,142.935,0,OK,NONE,NONE,0
