station_id,graph_ids,split,valid_count,min_z,max_z,mean_z,std_z,train_min_z,train_max_z,out_of_train_range_count,out_of_train_range_fraction,normalization_train_min_z,normalization_train_max_z,out_of_normalization_range_count,out_of_normalization_range_fraction,max_abs_delta_z,train_jump_outer_fence_m,suspicious_jump_count,train_event_count,train_reference_shift_event_count,train_reference_shift_event_ids,max_train_event_median_shift_m,normalization_computed_from_split,qc_status,qc_reason
611E1460,B008,TRAIN,962,141.29,142.62,141.5831081,0.2338229841,141.29,142.62,0,0,0.31,1175.29,0,0,0.75,0.08,37,23,0,,0.77,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
611E1460,B008,VALIDATION,263,141.41,142.35,141.7848289,0.2739235225,141.29,142.62,0,0,0.31,1175.29,0,0,0.28,0.08,8,23,0,,0.77,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
611E1460,B008,TEST,246,141.46,142.4,141.7989837,0.2430935945,141.29,142.62,0,0,0.31,1175.29,0,0,0.19,0.08,4,23,0,,0.77,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
611E2360,B010,TRAIN,1558,79.18,82.31,79.69033376,0.4020257006,79.18,82.31,0,0,0.31,1175.29,0,0,1.71,0.08,121,27,0,,0.42,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
611E2360,B010,VALIDATION,118,79.27,80.21,79.54855932,0.2319565835,79.18,82.31,0,0,0.31,1175.29,0,0,0.21,0.08,7,27,0,,0.42,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
611E2360,B010,TEST,245,79.21,81.02,79.5557551,0.3364459219,79.18,82.31,0,0,0.31,1175.29,0,0,1.14,0.08,19,27,0,,0.42,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
611E2820,B013,TRAIN,1082,41.89,45.6,42.86037893,0.5486339485,41.89,45.6,0,0,0.31,1175.29,0,0,1.18,0.41,25,15,0,,0.86,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
611E2820,B013,VALIDATION,90,42.12,43.02,42.56077778,0.2509281782,41.89,45.6,0,0,0.31,1175.29,0,0,0.27,0.41,0,15,0,,0.86,TRAIN,OK,NONE
611E2820,B013,TEST,178,41.73,42.65,42.13303371,0.1886969182,41.89,45.6,15,0.08426966292,0.31,1175.29,0,0,0.14,0.41,0,15,0,,0.86,TRAIN,REVIEW,OUTSIDE_STATION_TRAIN_RANGE
611E2920,B014,TRAIN,409,82.83,84.4,83.68259169,0.3914597245,82.83,84.4,0,0,0.31,1175.29,0,0,0.44,0.13,20,11,0,,0.45,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
611E2920,B014,VALIDATION,54,83.05,84.5,83.56814815,0.3967977098,82.83,84.4,1,0.01851851852,0.31,1175.29,0,0,0.72,0.13,6,11,0,,0.45,TRAIN,REVIEW,OUTSIDE_STATION_TRAIN_RANGE;HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
611E2920,B014,TEST,186,84.39,85.7,84.89419355,0.2775907198,82.83,84.4,184,0.9892473118,0.31,1175.29,0,0,0.67,0.13,21,11,0,,0.45,TRAIN,REVIEW,OUTSIDE_STATION_TRAIN_RANGE;HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
611G3160,B016,TRAIN,468,572.17,576.12,574.5117521,0.554356413,572.17,576.12,0,0,0.31,1175.29,0,0,1.1,0.46,14,13,0,,0.88,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
611G3160,B016,VALIDATION,284,575.18,576.69,576.1005986,0.2755123156,572.17,576.12,153,0.5387323944,0.31,1175.29,0,0,0.5,0.46,2,13,0,,0.88,TRAIN,REVIEW,OUTSIDE_STATION_TRAIN_RANGE;HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
611G3160,B016,TEST,79,576.34,578.74,577.7950633,0.6438528675,572.17,576.12,79,1,0.31,1175.29,0,0,0.77,0.46,6,13,0,,0.88,TRAIN,REVIEW,OUTSIDE_STATION_TRAIN_RANGE;HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
611H1650,B017,TRAIN,778,293.48,295.67,295.1288303,0.3835251784,293.48,295.67,0,0,0.31,1175.29,0,0,1.38,0.21,44,14,0,,0.745,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
611H1650,B017,VALIDATION,181,293.69,295.43,294.9835912,0.3038388435,293.48,295.67,0,0,0.31,1175.29,0,0,0.42,0.21,6,14,0,,0.745,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
611H1650,B017,TEST,250,294.27,295.46,294.90892,0.2575127834,293.48,295.67,0,0,0.31,1175.29,0,0,0.37,0.21,4,14,0,,0.745,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
611H2032,B018,TRAIN,336,40.89,42.85,41.56738095,0.4114799626,40.89,42.85,0,0,0.31,1175.29,0,0,1,0.5,3,7,0,,0.74,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
611H2032,B018,VALIDATION,59,41.63,42.69,42.06118644,0.2587262459,40.89,42.85,0,0,0.31,1175.29,0,0,0.14,0.5,0,7,0,,0.74,TRAIN,OK,NONE
611H2032,B018,TEST,170,41.57,42.87,42.16782353,0.3282081003,40.89,42.85,1,0.005882352941,0.31,1175.29,0,0,0.32,0.5,0,7,0,,0.74,TRAIN,REVIEW,OUTSIDE_STATION_TRAIN_RANGE
612E1060,B019,TRAIN,1592,265.96,270.02,266.6322864,0.540679754,265.96,270.02,0,0,0.31,1175.29,0,0,1.84,0.08,88,27,0,,0.86,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
612E1060,B019,VALIDATION,299,265.9,268.81,266.4974247,0.4960854019,265.96,270.02,5,0.01672240803,0.31,1175.29,0,0,1.18,0.08,26,27,0,,0.86,TRAIN,REVIEW,OUTSIDE_STATION_TRAIN_RANGE;HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
612E1060,B019,TEST,208,265.94,267.38,266.488125,0.3385927378,265.96,270.02,1,0.004807692308,0.31,1175.29,0,0,0.57,0.08,12,27,0,,0.86,TRAIN,REVIEW,OUTSIDE_STATION_TRAIN_RANGE;HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
612E2800,B022,TRAIN,1440,48.2,50.87,48.55755556,0.3840165972,48.2,50.87,0,0,0.31,1175.29,0,0,2.08,0.08,93,27,0,,1.285,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
612E2800,B022,VALIDATION,249,48.01,51.05,48.4526506,0.4540051598,48.2,50.87,63,0.2530120482,0.31,1175.29,0,0,1.01,0.08,42,27,0,,1.285,TRAIN,REVIEW,OUTSIDE_STATION_TRAIN_RANGE;HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
612E2800,B022,TEST,74,48.17,49.42,48.67891892,0.3575576596,48.2,50.87,4,0.05405405405,0.31,1175.29,0,0,0.34,0.08,6,27,0,,1.285,TRAIN,REVIEW,OUTSIDE_STATION_TRAIN_RANGE;HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
613E1450,B023,TRAIN,668,148.43,152.67,149.2936976,0.8338118289,148.43,152.67,0,0,0.31,1175.29,0,0,2.12,0.04,76,10,0,,0.885,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
613E1450,B023,VALIDATION,223,148.53,149.03,148.7564126,0.1868181779,148.43,152.67,0,0,0.31,1175.29,0,0,0.11,0.04,8,10,0,,0.885,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
613E1450,B023,TEST,70,148.33,148.41,148.3984286,0.02493624524,148.43,152.67,70,1,0.31,1175.29,0,0,0.08,0.04,1,10,0,,0.885,TRAIN,REVIEW,OUTSIDE_STATION_TRAIN_RANGE;HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
613E1540,B024,TRAIN,2121,185.87,194.48,186.8543706,0.8874324976,185.87,194.48,0,0,0.31,1175.29,0,0,2.57,0.12,147,25,0,,2.01,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
613E1540,B024,VALIDATION,134,185.97,187.69,186.4533582,0.4585667874,185.87,194.48,0,0,0.31,1175.29,0,0,0.45,0.12,5,25,0,,2.01,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
613E1540,B024,TEST,494,186,188.19,186.7172267,0.4414291765,185.87,194.48,0,0,0.31,1175.29,0,0,0.42,0.12,13,25,0,,2.01,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
613E2580,B025,TRAIN,1294,191.07,198.27,191.7033771,0.6584848317,191.07,198.27,0,0,0.31,1175.29,0,0,3.04,0.12,104,24,0,,2.005,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
613E2580,B025,VALIDATION,254,191.03,199.91,192.0042913,1.490097791,191.07,198.27,13,0.05118110236,0.31,1175.29,0,0,3.95,0.12,43,24,0,,2.005,TRAIN,REVIEW,OUTSIDE_STATION_TRAIN_RANGE;HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
613E2580,B025,TEST,84,191.11,192.21,191.4283333,0.2193216454,191.07,198.27,0,0,0.31,1175.29,0,0,0.66,0.12,4,24,0,,2.005,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
613G1535,B028,TRAIN,913,0.71,4.65,1.320219058,0.5436642505,0.71,4.65,0,0,0.31,1175.29,0,0,0.99,0.08,77,16,0,,0.44,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
613G1535,B028,VALIDATION,58,0.79,0.9,0.8601724138,0.02944845756,0.71,4.65,0,0,0.31,1175.29,0,0,0.07,0.08,0,16,0,,0.44,TRAIN,OK,NONE
613G1535,B028,TEST,19,0.27,0.33,0.2873684211,0.02098673899,0.71,4.65,19,1,0.31,1175.29,15,0.7894736842,0.05,0.08,0,16,0,,0.44,TRAIN,REVIEW,OUTSIDE_STATION_TRAIN_RANGE;OUTSIDE_GLOBAL_TRAIN_NORMALIZATION_RANGE
613H1300,B029,TRAIN,312,259.48,268.29,263.3392628,3.318578304,259.48,268.29,0,0,0.31,1175.29,0,0,0.55,0.21,12,6,0,,3.92,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
613H1300,B029,VALIDATION,15,265,268.05,266.3866667,1.035417254,259.48,268.29,0,0,0.31,1175.29,0,0,1.89,0.21,12,6,0,,3.92,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
613H9508,B030,TRAIN,183,163.09,165.37,164.0974317,0.5051023426,163.09,165.37,0,0,0.31,1175.29,0,0,0.39,0.44,0,5,0,,1.09,TRAIN,OK,NONE
613H9508,B030,VALIDATION,42,163.5,164.13,163.832619,0.2024617486,163.09,165.37,0,0,0.31,1175.29,0,0,0.25,0.44,0,5,0,,1.09,TRAIN,OK,NONE
61402050,B031,TRAIN,1726,306.4,308.74,306.8274392,0.2299338425,306.4,308.74,0,0,0.31,1175.29,0,0,0.3,0.04,101,28,0,,0.525,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
61402050,B031,VALIDATION,432,306.57,307.71,306.7961343,0.2004315033,306.4,308.74,0,0,0.31,1175.29,0,0,0.46,0.04,27,28,0,,0.525,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
61402050,B031,TEST,498,306.61,307.29,306.8103614,0.1323720489,306.4,308.74,0,0,0.31,1175.29,0,0,0.42,0.04,16,28,0,,0.525,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
614E1550,B032,TRAIN,1786,274.31,276.48,274.6732419,0.2249645107,274.31,276.48,0,0,0.31,1175.29,0,0,1.03,0.08,94,33,0,,0.345,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
614E1550,B032,VALIDATION,231,274.45,276.12,274.6614286,0.2477048636,274.31,276.48,0,0,0.31,1175.29,0,0,0.59,0.08,15,33,0,,0.345,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
614E1550,B032,TEST,160,274.42,274.84,274.5519375,0.09705988406,274.31,276.48,0,0,0.31,1175.29,0,0,0.12,0.08,2,33,0,,0.345,TRAIN,REVIEW,HOURLY_JUMP_EXCEEDS_TRAIN_TUKEY_OUTER_FENCE
