GRAPH_ID,EDGE_ID,FROM_NODE_ID,TO_NODE_ID,FROM_NODE_INDEX,TO_NODE_INDEX,REACH_LENGTH_M
Q_61113300,Q_61113300_E0001,Q_61113300_N0011,Q_61113300_N0012,10,11,2098.344542
Q_61113300,Q_61113300_E0002,Q_61113300_N0010,Q_61113300_N0011,9,10,3210.610753
Q_61113300,Q_61113300_E0003,Q_61113300_N0009,Q_61113300_N0010,8,9,5277.149641
Q_61113300,Q_61113300_E0004,Q_61113300_N0001,Q_61113300_N0011,0,10,14028.36546
Q_61113300,Q_61113300_E0005,Q_61113300_N0008,Q_61113300_N0009,7,8,967.4307297
Q_61113300,Q_61113300_E0006,Q_61113300_N0002,Q_61113300_N0008,1,7,411.7885766
Q_61113300,Q_61113300_E0007,Q_61113300_N0003,Q_61113300_N0010,2,9,4834.909518
Q_61113300,Q_61113300_E0008,Q_61113300_N0004,Q_61113300_N0009,3,8,6015.045296
Q_61113300,Q_61113300_E0009,Q_61113300_N0007,Q_61113300_N0008,6,7,9628.333008
Q_61113300,Q_61113300_E0010,Q_61113300_N0005,Q_61113300_N0007,4,6,823.8878534
Q_61113300,Q_61113300_E0011,Q_61113300_N0006,Q_61113300_N0007,5,6,555.7488962
Q_61115200,Q_61115200_E0001,Q_61115200_N0001,Q_61115200_N0002,0,1,3795.290954
Q_611E0340,Q_611E0340_E0001,Q_611E0340_N0009,Q_611E0340_N0010,8,9,10931.53693
Q_611E0340,Q_611E0340_E0002,Q_611E0340_N0001,Q_611E0340_N0005,0,4,2111.05108
Q_611E0340,Q_611E0340_E0003,Q_611E0340_N0008,Q_611E0340_N0009,7,8,9317.421029
Q_611E0340,Q_611E0340_E0004,Q_611E0340_N0002,Q_611E0340_N0009,1,8,8638.21917
Q_611E0340,Q_611E0340_E0005,Q_611E0340_N0003,Q_611E0340_N0008,2,7,217.2966327
Q_611E0340,Q_611E0340_E0006,Q_611E0340_N0005,Q_611E0340_N0007,4,6,374.97708
Q_611E0340,Q_611E0340_E0007,Q_611E0340_N0007,Q_611E0340_N0008,6,7,2382.771344
Q_611E0340,Q_611E0340_E0008,Q_611E0340_N0004,Q_611E0340_N0005,3,4,1480.947094
Q_611E0340,Q_611E0340_E0009,Q_611E0340_N0006,Q_611E0340_N0007,5,6,6899.996843
Q_611E0360,Q_611E0360_E0001,Q_611E0360_N0007,Q_611E0360_N0008,6,7,14488.17605
Q_611E0360,Q_611E0360_E0002,Q_611E0360_N0001,Q_611E0360_N0007,0,6,2048.068351
Q_611E0360,Q_611E0360_E0003,Q_611E0360_N0002,Q_611E0360_N0006,1,5,4626.243828
Q_611E0360,Q_611E0360_E0004,Q_611E0360_N0006,Q_611E0360_N0007,5,6,7597.412832
Q_611E0360,Q_611E0360_E0005,Q_611E0360_N0005,Q_611E0360_N0006,4,5,808.5221065
Q_611E0360,Q_611E0360_E0006,Q_611E0360_N0003,Q_611E0360_N0005,2,4,6175.817123
Q_611E0360,Q_611E0360_E0007,Q_611E0360_N0004,Q_611E0360_N0005,3,4,5501.30188
Q_611E0380,Q_611E0380_E0001,Q_611E0380_N0001,Q_611E0380_N0003,0,2,6072.00088
Q_611E0380,Q_611E0380_E0002,Q_611E0380_N0002,Q_611E0380_N0003,1,2,276.9473022
Q_611E0380,Q_611E0380_E0003,Q_611E0380_N0003,Q_611E0380_N0005,2,4,3297.163156
