GRAPH_ID,NODE_ID,NODE_INDEX,OUTLET_ID,NODE_TYPE,IS_OUTLET,LON,LAT,IN_DEGREE,OUT_DEGREE,MERIT_UPA_KM2,incremental_area_km2,upstream_area_km2,MERIT_RASTER_SOURCE
Q_61113300,Q_61113300_N0001,0,61113300,SOURCE,0,111.5475,27.64416667,0,1,10.23780632,10.24535868,10.24535868,work_raster
Q_61113300,Q_61113300_N0002,1,61113300,SOURCE,0,111.5925,27.64,0,1,12.18858051,12.19756946,12.19756946,work_raster
Q_61113300,Q_61113300_N0003,2,61113300,SOURCE,0,111.6566667,27.63916667,0,1,12.79611969,12.80555517,12.80555517,work_raster
Q_61113300,Q_61113300_N0004,3,61113300,SOURCE,0,111.61,27.60416667,0,1,10.36310005,10.37072524,10.37072524,work_raster
Q_61113300,Q_61113300_N0005,4,61113300,SOURCE,0,111.5533333,27.57583333,0,1,10.21449852,10.22199711,10.22199711,work_raster
Q_61113300,Q_61113300_N0006,5,61113300,SOURCE,0,111.5625,27.575,0,1,12.22591972,12.23489932,12.23489932,work_raster
Q_61113300,Q_61113300_N0007,6,61113300,CONFLUENCE,0,111.56,27.57916667,2,1,23.04787064,0.6078991368,23.06479556,work_raster
Q_61113300,Q_61113300_N0008,7,61113300,CONFLUENCE,0,111.5958333,27.64166667,2,1,50.10745621,14.88195474,50.14431976,work_raster
Q_61113300,Q_61113300_N0009,8,61113300,CONFLUENCE,0,111.6016667,27.64583333,2,1,73.70702362,13.24622946,73.76127446,work_raster
Q_61113300,Q_61113300_N0010,9,61113300,CONFLUENCE,0,111.6308333,27.6625,2,1,102.5674591,16.07617953,102.6430092,work_raster
Q_61113300,Q_61113300_N0011,10,61113300,CONFLUENCE,0,111.6483333,27.67833333,2,1,151.1263733,38.34944796,151.2378158,work_raster
Q_61113300,Q_61113300_N0012,11,61113300,OUTLET,1,111.6625,27.685,1,0,159.5627747,8.442641342,159.6804571,work_raster
Q_61115200,Q_61115200_N0001,0,61115200,SOURCE,0,113.7208333,28.39083333,0,1,10.21068764,10.2186094,10.2186094,work_raster
Q_61115200,Q_61115200_N0002,1,61115200,OUTLET,1,113.7341667,28.36583333,1,0,22.08922195,11.88773548,22.10634488,work_raster
Q_61116401,Q_61116401_N0001,0,61116401,OUTLET,1,112.5808333,28.26583333,0,0,6.638835907,6.643946504,6.643946504,work_raster
Q_611E0340,Q_611E0340_N0001,0,611E0340,SOURCE,0,112.0858333,24.7925,0,1,10.19777393,10.20394852,10.20394852,manifest_tile:n20e110
Q_611E0340,Q_611E0340_N0002,1,611E0340,SOURCE,0,112.0116667,24.7875,0,1,10.23244476,10.23861883,10.23861883,manifest_tile:n20e110
Q_611E0340,Q_611E0340_N0003,2,611E0340,SOURCE,0,112.0575,24.78666667,0,1,10.94017982,10.94678058,10.94678058,manifest_tile:n20e110
Q_611E0340,Q_611E0340_N0004,3,611E0340,SOURCE,0,112.0833333,24.7775,0,1,13.3630724,13.37115294,13.37115294,manifest_tile:n20e110
Q_611E0340,Q_611E0340_N0005,4,611E0340,CONFLUENCE,0,112.0733333,24.77833333,2,1,27.43237686,3.873869478,27.44897095,manifest_tile:n20e110
Q_611E0340,Q_611E0340_N0006,5,611E0340,SOURCE,0,112.115,24.76166667,0,1,13.74733543,13.755629,13.755629,manifest_tile:n20e110
Q_611E0340,Q_611E0340_N0007,6,611E0340,CONFLUENCE,0,112.0708333,24.7775,2,1,81.3751297,40.21964619,81.42424614,manifest_tile:n20e110
Q_611E0340,Q_611E0340_N0008,7,611E0340,CONFLUENCE,0,112.0583333,24.78833333,2,1,95.49479675,3.181414948,95.55244166,manifest_tile:n20e110
Q_611E0340,Q_611E0340_N0009,8,611E0340,CONFLUENCE,0,112.0475,24.84333333,2,1,147.6212311,41.91936099,147.7104215,manifest_tile:n20e110
Q_611E0340,Q_611E0340_N0010,9,611E0340,OUTLET,1,112.0341667,24.90833333,1,0,172.031723,24.42533129,172.1357528,manifest_tile:n20e110
Q_611E0360,Q_611E0360_N0001,0,611E0360,SOURCE,0,111.815,25.30666667,0,1,10.11947346,10.12582622,10.12582622,work_raster
Q_611E0360,Q_611E0360_N0002,1,611E0360,SOURCE,0,111.8783333,25.28166667,0,1,10.1818676,10.18825564,10.18825564,work_raster
Q_611E0360,Q_611E0360_N0003,2,611E0360,SOURCE,0,111.8858333,25.21916667,0,1,10.07889366,10.0851834,10.0851834,work_raster
Q_611E0360,Q_611E0360_N0004,3,611E0360,SOURCE,0,111.855,25.2075,0,1,10.04237843,10.04863467,10.04863467,work_raster
Q_611E0360,Q_611E0360_N0005,4,611E0360,CONFLUENCE,0,111.8583333,25.25083333,2,1,49.94617081,29.84352136,49.97733943,work_raster
Q_611E0360,Q_611E0360_N0006,5,611E0360,CONFLUENCE,0,111.8541667,25.25666667,2,1,78.51404572,18.397513,78.56310807,work_raster
Q_611E0360,Q_611E0360_N0007,6,611E0360,CONFLUENCE,0,111.8325,25.31083333,2,1,125.9460907,37.33598107,126.0249154,work_raster
Q_611E0360,Q_611E0360_N0008,7,611E0360,OUTLET,1,111.7725,25.4075,1,0,185.5536957,59.64518931,185.6701047,work_raster
Q_611E0380,Q_611E0380_N0001,0,611E0380,SOURCE,0,111.34,25.43333333,0,1,11.0186882,11.02568253,11.02568253,work_raster
Q_611E0380,Q_611E0380_N0002,1,611E0380,SOURCE,0,111.3175,25.40416667,0,1,12.61388779,12.62188129,12.62188129,work_raster
