GRAPH_ID,NODE_ID,NODE_INDEX,OUTLET_ID,NODE_TYPE,IS_OUTLET,incremental_area_km2,upstream_area_km2,MERIT_UPA_KM2,log_incremental_area,log_upstream_area,mean_hillslope_flow_distance_m,mean_slope_deg,elevation_mean_m,elevation_std_m,drainage_density_km_per_km2,soil_log_ksat_0_30cm,soil_profile_depth_cm,forest_fraction,impervious_fraction,dem_valid_fraction,flow_distance_valid_fraction,cisc_valid_fraction,ksat_valid_fraction_min,pdep_valid_fraction,igbp_valid_fraction,CCAM_FALLBACK_USED,STATIC_QC
Q_61113300,Q_61113300_N0001,0,61113300,SOURCE,0,10.24535868,10.24535868,10.23780632,2.419955482,2.419955482,1182.498155,13.81792541,321.3624849,70.06241309,0.2858468299,1.382451653,92.10461426,0,0.1271960647,1,1,1,1,1,1,0,ACCEPT
Q_61113300,Q_61113300_N0002,1,61113300,SOURCE,0,12.19756946,12.19756946,12.18858051,2.580032681,2.580032681,866.6277587,15.4671558,244.0828941,53.31255274,0.581178179,1.395641923,90.16857147,0,0.09921748118,1,1,1,1,1,1,0,ACCEPT
Q_61113300,Q_61113300_N0003,2,61113300,SOURCE,0,12.80555517,12.80555517,12.79611969,2.625071059,2.625071059,1164.569171,17.40319099,300.8600173,70.06116607,0.2637519301,1.415112217,97.18000031,0,0.02351042178,1,1,1,1,1,1,0,ACCEPT
Q_61113300,Q_61113300_N0004,3,61113300,SOURCE,0,10.37072524,10.37072524,10.36310005,2.431042092,2.431042092,972.2094545,21.90907269,341.0073574,80.16707622,0.3822493046,1.40191865,101,0.1935483871,0.02570560139,1,1,1,1,1,1,0,ACCEPT
Q_61113300,Q_61113300_N0005,4,61113300,SOURCE,0,10.22199711,10.22199711,10.21449852,2.417875879,2.417875879,1011.311533,17.3442333,349.1155444,139.3811472,0.5871549721,1.483714283,88.11615753,0.1428571429,0.03748350198,1,1,1,1,1,1,0,ACCEPT
Q_61113300,Q_61113300_N0006,5,61113300,SOURCE,0,12.23489932,12.23489932,12.22591972,2.582857229,2.582857229,856.1395582,22.78184716,379.4090484,105.2714046,0.4848512829,1.398589253,92.9781189,0.1120689655,0.02359426681,1,1,1,1,1,1,0,ACCEPT
Q_61113300,Q_61113300_N0007,6,61113300,CONFLUENCE,0,0.6078991368,23.06479556,23.04787064,0.4749284429,3.180750008,489.2887376,10.02732008,239.1774286,21.42994656,0.9868851141,1.485560675,92.01999664,0,0.2077727952,1,1,1,0,0,1,1,REVIEW_SPATIAL_FALLBACK
Q_61113300,Q_61113300_N0008,7,61113300,CONFLUENCE,0,14.88195474,50.14431976,50.10745621,2.765183543,3.934651436,784.9941326,17.41610067,251.3118161,68.34242157,0.7212273688,1.396250208,95.13333893,0.03571428571,0.08271313608,1,1,1,1,1,1,0,ACCEPT
Q_61113300,Q_61113300_N0009,8,61113300,CONFLUENCE,0,13.24622946,73.76127446,73.70702362,2.656492272,4.31430003,895.740056,16.23850238,257.437383,78.00567703,0.6128420982,1.407317281,98.45333099,0.1031746032,0.08632995717,1,1,1,1,1,1,0,ACCEPT
Q_61113300,Q_61113300_N0010,9,61113300,CONFLUENCE,0,16.07617953,102.6430092,102.5674591,2.837684482,4.64095239,749.962775,13.16684351,217.8541253,57.39020331,0.7890537463,1.434555292,95.54286194,0,0.09356626911,1,1,1,1,1,1,0,ACCEPT
