GRAPH_ID,STATION_ID,STATION_ROLE,IS_OUTLET_STATION,OBSERVATION_LON,OBSERVATION_LAT,MAPPED_NODE_ID,MAPPED_NODE_INDEX,MAPPED_EDGE_ID,GRAPH_SNAP_LON,GRAPH_SNAP_LAT,SNAP_DISTANCE_M,MAPPING_METHOD,OBS_INDEX
Q_61113300,61113300,OUTLET,1,111.6625,27.685,Q_61113300_N0012,11,,111.6625,27.685,9.313225746e-10,FORCED_OUTLET_NODE,0
Q_61113300,611H7703,UPSTREAM,0,111.595,27.66916667,Q_61113300_N0011,10,Q_61113300_E0004,111.595,27.66916667,1.28056854e-09,NEAREST_REACH_TO_DOWNSTREAM_UNIT,1
Q_61115200,61115200,OUTLET,1,113.7341667,28.36583333,Q_61115200_N0002,1,,113.7341667,28.36583333,0.003290004371,FORCED_OUTLET_NODE,0
Q_61115200,61115000,UPSTREAM,0,113.7158333,28.39583333,Q_61115200_N0001,0,Q_61115200_E0001,113.7208333,28.39083333,740.0636797,NEAREST_REACH_TO_SOURCE,1
Q_61116401,61116401,OUTLET,1,112.5808333,28.26583333,Q_61116401_N0001,0,,112.5808333,28.26583333,0.003291103563,FORCED_OUTLET_NODE,0
Q_611E0340,611E0340,OUTLET,1,112.0341667,24.90833333,Q_611E0340_N0010,9,,112.0341667,24.90833333,0.003386779132,FORCED_OUTLET_NODE,0
Q_611E0360,611E0360,OUTLET,1,111.7725,25.4075,Q_611E0360_N0008,7,,111.7725,25.4075,0,FORCED_OUTLET_NODE,0
Q_611E0380,611E0380,OUTLET,1,111.3166667,25.3625,Q_611E0380_N0008,7,,111.3166667,25.3625,0.003353764156,FORCED_OUTLET_NODE,0
Q_611E0405,611E0405,OUTLET,1,111.53,25.51166667,Q_611E0405_N0014,13,,111.53,25.51166667,0.0003691344948,FORCED_OUTLET_NODE,0
Q_611E1000,611E1000,OUTLET,1,112.2383333,25.9275,Q_611E1000_N0010,9,,112.2383333,25.9275,0.003338601304,FORCED_OUTLET_NODE,0
Q_611E1500,611E1500,OUTLET,1,113.0191667,25.68,Q_611E1500_N0010,9,,113.0191667,25.68,0.003346604924,FORCED_OUTLET_NODE,0
Q_611E1500,611H0534,UPSTREAM,0,112.935,25.61333333,Q_611E1500_N0006,5,Q_611E1500_E0006,112.935,25.61333333,0.0003692980716,NEAREST_REACH_TO_DOWNSTREAM_UNIT,1
Q_611E2185,611E2185,OUTLET,1,113.9291667,28.055,Q_611E2185_N0014,13,,113.9291667,28.055,0.003279105315,FORCED_OUTLET_NODE,0
Q_611E2370,611E2370,OUTLET,1,112.5825,27.48083333,Q_611E2370_N0010,9,,112.5825,27.48083333,0.0003693338689,FORCED_OUTLET_NODE,0
Q_611E2480,611E2480,OUTLET,1,111.8616667,27.89333333,Q_611E2480_N0012,11,,111.8616667,27.89333333,0.00330164784,FORCED_OUTLET_NODE,0
Q_611E2524,611E2524,OUTLET,1,112.0558333,27.81583333,Q_611E2524_N0004,3,,112.0558333,27.81583333,0.003304111586,FORCED_OUTLET_NODE,0
Q_611E2550,611E2550,OUTLET,1,112.53,27.665,Q_611E2550_N0004,3,,112.53,27.665,4.799926683e-10,FORCED_OUTLET_NODE,0
Q_611E2600,611E2600,OUTLET,1,112.7341667,27.70166667,Q_611E2600_N0002,1,,112.7341667,27.70166667,0.003308270243,FORCED_OUTLET_NODE,0
Q_611E2620,611E2620,OUTLET,1,112.8383333,27.88083333,Q_611E2620_N0004,3,,112.8383333,27.88083333,0.003303061628,FORCED_OUTLET_NODE,0
Q_611E2645,611E2645,OUTLET,1,112.9541667,27.91416667,Q_611E2645_N0002,1,,112.9541667,27.91416667,0.003302236425,FORCED_OUTLET_NODE,0
Q_61205550,61205550,OUTLET,1,111.3825,28.43166667,Q_61205550_N0004,3,,111.3825,28.43166667,0.000369280114,FORCED_OUTLET_NODE,0
Q_612E1800,612E1800,OUTLET,1,111.3916667,27.60166667,Q_612E1800_N0004,3,,111.3916667,27.60166667,0.003310110206,FORCED_OUTLET_NODE,0
Q_612E1810,612E1810,OUTLET,1,111.4875,27.6625,Q_612E1810_N0002,1,,111.4875,27.6625,0,FORCED_OUTLET_NODE,0
Q_612E1900,612E1900,OUTLET,1,111.1666667,27.85,Q_612E1900_N0007,6,,111.1666667,27.85,0.003281956659,FORCED_OUTLET_NODE,0
Q_612E1950,612E1950,OUTLET,1,111.2658333,27.6675,Q_612E1950_N0006,5,,111.2658333,27.6675,0.003287450008,FORCED_OUTLET_NODE,0
Q_612E2390,612E2390,OUTLET,1,110.8508333,28.29916667,Q_612E2390_N0008,7,,110.8508333,28.29916667,0.003289124357,FORCED_OUTLET_NODE,0
Q_612E2390,612H1255,UPSTREAM,0,110.825,28.31083333,Q_612E2390_N0008,7,Q_612E2390_E0004,110.825,28.31083333,0,NEAREST_REACH_TO_DOWNSTREAM_UNIT,1
Q_612E2460,612E2460,OUTLET,1,111.2216667,28.3975,Q_612E2460_N0008,7,,111.2216667,28.3975,0.003265330973,FORCED_OUTLET_NODE,0
Q_612E2600,612E2600,OUTLET,1,111.5975,28.34083333,Q_612E2600_N0008,7,,111.5975,28.34083333,0.0003692841707,FORCED_OUTLET_NODE,0
Q_612E2820,612E2820,OUTLET,1,112.1616667,28.3525,Q_612E2820_N0012,11,,112.1616667,28.3525,0.00326721431,FORCED_OUTLET_NODE,0
Q_61304550,61304550,OUTLET,1,109.7158333,26.58166667,Q_61304550_N0002,1,,109.7158333,26.58166667,0.003340462681,FORCED_OUTLET_NODE,0
Q_61309200,61309200,OUTLET,1,110.5225,27.39333333,Q_61309200_N0002,1,,110.5225,27.39333333,0.0003692278774,FORCED_OUTLET_NODE,0
Q_61310900,61310900,OUTLET,1,110.1633333,27.695,Q_61310900_N0005,4,,110.1633333,27.695,0.003286873845,FORCED_OUTLET_NODE,0
Q_613E2810,613E2810,OUTLET,1,111.41,28.90833333,Q_613E2810_N0012,11,,111.41,28.90833333,0.0003693065351,FORCED_OUTLET_NODE,0
Q_613E2870,613E2870,OUTLET,1,111.2158333,29.11,Q_613E2870_N0012,11,,111.2158333,29.11,0.003243237418,FORCED_OUTLET_NODE,0
